search_name,real_name,nickname,category,dates,place_of_birth,biography_link
Adolfo Carabelli,"Carabelli, Adolfo Leandro", ,"Pianist, composer and leader",(8 September 1893 - 25 January 1947),Place of birth: San Fernando (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/89/Adolfo-Carabelli/
Ahumada Bonano,, ,,(n/d - ),Place of birth: , 
Alberto Di Paulo,"Di Paolo, Antonio J.", ,"Bandoneonist, leader, composer and arranger",(12 July 1929 - 13 July 2011),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1026/Alberto-Di-Paulo/
Alberto Mancione,"Tortora, Genaro", ,"Bandoneonist, leader and composer",(8 October 1915 - 4 July 1998),Place of birth: Buenos Aires Argentina, 
Alejandro Scarpino,"Scarpino, Alejandro", ,"Bandoneonist, leader and composer",(16 January 1904 - 27 May 1970),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1374/Alejandro-Scarpino/
Alfredo Attadia,"Attadía, Alfredo Adolfo",Nicknames: El Bandoneón de Oro,"Bandoneonist, composer and leader",(9 January 1914 - 30 January 1982),Place of birth: San Martín (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/934/Alfredo-Attadia/
Alfredo De Angelis,"De Angelis, Alfredo",Nicknames: Diego Anson/El colorado,"Pianist, leader and composer.",(2 November 1910 - 31 March 1992),Place of birth: Adrogué (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/33/Alfredo-De-Angelis/
Alfredo Gobbi,"Gobbi, Alfredo Julio Floro",Nicknames: El violín romántico del tango,"Violinist, leader and composer",(14 May 1912 - 21 May 1965),Place of birth: París France,https://www.todotango.com/english/artists/biography/42/Alfredo-Gobbi/
Alfredo Malerba,"Malerba, Antonio Alfredo", ,"Pianist, leader, composer.",(24 September 1909 - 9 January 1994),Place of birth: Buenos Aires Argentina, 
Americo Belloto,,Nicknames: Don Américo,Violinist and leader,(30 April 1913 - 30 April 1965),Place of birth: , 
Angel Condercuri,"Condercuri, Ángel Félix",Nicknames: Del Conde,"Bandoneonist, leader, arranger and composer",(2 August 1912 - 15 September 1996),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1300/angel-Condercuri/
Angel D'Agostino,"D'Agostino, Ángel Domingo Emilio", ,"Pianist, composer and leader",(25 May 1900 - 16 January 1991),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/31/angel-DAgostino/
Anibal Troilo,"Troilo, Aníbal Carmelo",Nicknames: Pichuco,"Bandoneon player, leader and composer.",(11 July 1914 - 19 May 1975),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/50/Anibal-Troilo/
Anselmo Aieta,"Aieta, Anselmo Alfredo","Nicknames: Ricardo Aieta, Pepe Soles y Lagaña","Bandoneonist, composer and leader",(5 November 1896 - 25 September 1964),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1/Anselmo-Aieta/
Antonio Bonavena,"Bonavena, Antonio", ,"Bandoneonist, leader and composer",(14 March 1896 - 22 July 1960),Place of birth: San Costantino de Briatico (Vibo Valentia) Italy,https://www.todotango.com/english/artists/biography/867/Antonio-Bonavena/
Antonio Rodio,"Rodio, Antonio", ,"Violinist, leader and composer",(25 January 1904 - 1 June 1980),Place of birth: Crispiano (Tarento) Italy,https://www.todotango.com/english/artists/biography/47/Antonio-Rodio/
Argentino Galvan,"Galván, Argentino Liborio", ,"Violinist, arranger, leader and composer",(13 July 1913 - 8 November 1960),Place of birth: Chivilcoy (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/822/Argentino-Galvan/
Armando Cupo,"Cupo, Oscar Armando", ,"Pianist, leader and composer",(26 December 1921 - 21 July 1990),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1057/Armando-Cupo/
Armando Lacava,"Lacava, Armando", ,"Pianist, bandleader, arranger and composer",(12 December 1915 - 8 April 1989),Place of birth: Bahía Blanca (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1492/Armando-Lacava/
Armando Pontier,"Punturero, Armando Francisco", ,"Bandoneonist, leader and composer",(29 August 1917 - 25 December 1983),Place of birth: Zárate (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/700/Armando-Pontier/
Astor Piazzolla,"Piazzolla, Astor Pantaleón", ,"Bandoneonist, leader, composer and arranger",(11 March 1921 - 4 July 1992),Place of birth: Mar del Plata (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/44/Astor-Piazzolla/
Atilio Stampone,"Stampone, Antonio Atilio", ,"Pianist, arranger, leader and composer",(1 July 1926 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/715/Atilio-Stampone/
Bachicha,"Deambroggio, Juan Bautista",Nicknames: Bachicha y Bachichín,"Bandoneonist, composer and leader",(2 March 1890 - 28 November 1963),Place of birth: La Plata (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/199/Bachicha/
Baffa Berlingieri,Baffa-Berlingieri, ,,(n/d - ),Place of birth: , 
Carlos Demaria,"Fernández, Juan Esteban",Nicknames: Yo toqué,"Bandoneonist, band leader and composer",(2 September 1914 - 11 August 1976),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1504/Carlos-Demaria/
Carlos Di Sarli,"Di Sarli, Carlos",Nicknames: El Señor del Tango,"Pianist, leader and composer",(7 January 1903 - 12 January 1960),Place of birth: Bahía Blanca (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/36/Carlos-Di-Sarli/
Carlos Figari,"Figari, Carlos Alberto", ,"Pianist, leader and composer",(3 August 1913 - 22 October 1994),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/912/Carlos-Figari/
Carlos Garcia,"García, Carlos Juan Pedro", ,"Pianist, leader, arranger and composer",(21 April 1914 - 4 August 2006),Place of birth: Capilla del Señor (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/841/Carlos-Garcia/
Carlos Marcucci,"Marcucci, Carlos",Nicknames: El pibe de Wilde,"Bandoneonist, leader and composer",(30 October 1903 - 31 May 1957),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/91/Carlos-Marcucci/
Carlos Vicente Geroni Flores,"Geroni, Alejandro Carlos Vicente",Nicknames: Negro Flores,"Violinist, pianist, leader and composer",(22 March 1895 - 22 June 1953),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/439/Carlos-Vicente-Geroni-Flores/
Catulo Castillo,"González Castillo, Ovidio Cátulo", ,"Poet, lyricist, composer and leader",(6 August 1906 - 19 October 1975),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/59/Catulo-Castillo/
Cayetano Puglisi,"Puglisi, Cayetano", ,"Violinist, leader and composer",(2 January 1902 - 2 November 1968),Place of birth: Mesina (Mesina) Italy,https://www.todotango.com/english/artists/biography/651/Cayetano-Puglisi/
Ciriaco Ortiz,"Ortiz Barrionuevo, Ángel Ciriaco",Nicknames: Ciriaquito,"Bandoneonist, director and composer",(5 August 1905 - 9 July 1970),Place of birth: Córdoba Argentina,https://www.todotango.com/english/artists/biography/203/Ciriaco-Ortiz/
Daniel Lomuto,"Lomuto, Enrique Daniel", ,"Bandoneonist, arranger, leader and composer",(14 February 1934 - 28 March 1994),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1078/Daniel-Lomuto/
Domingo Federico,"Federico, Domingo Serafín", ,"Bandoneonist, leader, composer and teacher",(4 June 1916 - 6 April 2000),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/732/Domingo-Federico/
Domingo Marafioti,"Marafioti, Domingo Antonio Ramón", ,"Pianist, leader and composer",(25 October 1913 - 29 March 2002),Place of birth: Tucumán Argentina,https://www.todotango.com/english/artists/biography/1450/Domingo-Marafioti/
Don Aspiazu,"Aspiazú, Josto", ,"Pianist, leader and composer",(1894 - 1943),Place of birth: ,https://www.todotango.com/english/artists/biography/301/Don-Aspiazu/
Donato Racciatti,"Racciatti, Donato", ,"Bandoneo player, leader and composer",(18 October 1918 - 27 May 2000),Place of birth: Guilmi (Chieti) Italy,https://www.todotango.com/english/artists/biography/799/Donato-Racciatti/
Edelmiro D'Amario,"D’Amario, Edelmiro Antonio",Nicknames: Toto,"Bandoneonist, arranger, leader and composer",(29 August 1920 - 28 September 2001),Place of birth: Los Hornos (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1073/Edelmiro-DAmario/
Edgardo Donato,"Donato, Edgardo Felipe Valerio", ,"Violinist, leader and composer",(14 April 1897 - 15 February 1963),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/290/Edgardo-Donato/
Eduardo Bianco,"Bianco, Eduardo Vicente",Nicknames: Manuel Bianco,"Violinist, composer and leader",(28 June 1892 - 26 October 1959),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/324/Eduardo-Bianco/
Eduardo Del Piano,"Del Piano, Eduardo", ,"Bandoneonist, arranger and leader",(14 May 1914 - 21 December 1987),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/818/Eduardo-Del-Piano/
Emilio Balcarce,"Sitano, Emilio Juan", ,"Violinist, bandoneonist, bandleader, arranger and composer",(22 February 1918 - 19 January 2011),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1045/Emilio-Balcarce/
Emilio Brameri,"Brameri, Emilio Dionisio Juan",Nicknames: Corso D’Acapo / Germinal Redoma,"Pianist, violinist, accordionist, director, composer and arranger",(18 March 1905 - 27 January 1981),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1591/Emilio-Brameri/
Enrique Alessio,"Alessio, Carmelo Enrique", ,"Bandoneonist, composer, leader and arranger",(8 January 1918 - 6 September 2000),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/959/Enrique-Alessio/
Enrique Cadicamo,"Cadícamo, Domingo Enrique",Nicknames: Rosendo Luna y Yino Luzzi,"Poet, lyricist, composer, writer and theatral writer",(15 July 1900 - 3 December 1999),Place of birth: General Rodríguez (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/55/Enrique-Cadicamo/
Enrique Delfino,"Delfino, Enrique Pedro","Nicknames: Delfy, Rock y Dreyfus","Pianist, composer, leader, actor and humorist.",(15 November 1895 - 10 January 1967),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/35/Enrique-Delfino/
Enrique Francini,"Francini, Enrique Mario", ,"Violinist, leader and composer",(14 January 1916 - 27 August 1978),Place of birth: San Fernando (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/701/Enrique-Francini/
Enrique Mora,"Mora, Enrique Fausto", ,"Pianist, bandleader and composer",(8 February 1915 - 14 July 2003),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1471/Enrique-Mora/
Enrique Rodriguez,"Rodríguez, Enrique A.",Nicknames: Luis María Meca,"Bandoneon player, leader and composer",(8 March 1901 - 4 September 1971),Place of birth:  Argentina,https://www.todotango.com/english/artists/biography/734/Enrique-Rodriguez/
Enrique Santos Discepolo,"Discépolo, Enrique Santos", ,"Poet, composer, actor and playwright.",(27 March 1901 - 23 December 1951),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/62/Enrique-Santos-Discepolo/
Esposito Genaro,"Espósito, Genaro Ricardo",Nicknames: El Tano Genaro,"Bandoneonist, guitarist, pianist, composer and leader",(17 February 1886 - 24 January 1944),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/697/Genaro-Esposito/
Esteban Morgado,, ,Guitarist and composer,(8 April 1958 - ),Place of birth: Buenos Aires Argentina, 
Feliciano Brunelli,"Brunelli, Félicien",Nicknames: Jean Bontamps,"Acordeonist, pianist, bandleader and composer",(7 February 1903 - 27 August 1981),Place of birth: Marsella (Bocas del Ródano) France,https://www.todotango.com/english/artists/biography/1195/Feliciano-Brunelli/
Florindo Sassone,"Sassone, Pedro Florindo", ,"Violinist, director and composer",(12 January 1912 - 31 January 1982),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/736/Florindo-Sassone/
Francini Pontier,Orquesta Francini-Pontier, ,Orchestra,(1945 - 1955),Place of birth: , 
Francisco Alongi,"Alongi, François Henry",Nicknames: J. C. Mendozino,Pianist and composer,(27 December 1889 - 12 March 1970),Place of birth: Tunez Tunisia,https://www.todotango.com/english/artists/biography/185/Francisco-Alongi/
Francisco Canaro,"Canaro, Francisco",Nicknames: Pirincho,"Musician, violinist, leader and composer.",(26 November 1888 - 14 December 1964),Place of birth: San José de Mayo (San José) Uruguay,https://www.todotango.com/english/artists/biography/28/Francisco-Canaro/
Francisco Lauro,"Lauro, Francesco",Nicknames: El Tano / Pancho Picaflor,"Bandoneonist, bandleader, composer and lyricist",(17 May 1897 - 12 August 1960),Place of birth: Mola (Bari) Italy,https://www.todotango.com/english/artists/biography/1669/Francisco-Lauro/
Francisco Lomuto,"Lomuto, Francisco Juan",Nicknames: Pancho Laguna,"Pianist, leader and composer.",(24 November 1893 - 23 December 1950),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/101/Francisco-Lomuto/
Francisco Rotundo,"Rotundo, Francisco Luis", ,"Pianist, composer and leader",(4 November 1919 - 26 September 1997),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/776/Francisco-Rotundo/
Fulvio Salamanca,"Salamanca, Julio Werfiel",Nicknames: Tony Cayena,"Pianist, leader, arranger and composer",(19 August 1921 - 25 May 1999),Place of birth: Juan B. Molina (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/769/Fulvio-Salamanca/
Geronimo Bongioni,"Bongiorno, Gerónimo José", ,"Violinist, composer and leader",(n/d - n/d),Place of birth: Macachín (La Pampa) Argentina, 
Gregor Kalikian,"Kallekian, Krikor Bedros", ,"Composer, leader and dancer",(28 February 1897 - 1971),Place of birth: Estambul (Estambul) Turkey,https://www.todotango.com/english/artists/biography/236/Gregor-Kalikian/
Hector Grane,"Grané, Héctor Abel",Nicknames: Abel Arriola / Abel Azar,"Pianist, leader and composer",(23 May 1914 - n/d),Place of birth:  Argentina, 
Hector Stamponi,"Stamponi, Héctor Luciano",Nicknames: Chupita,"Pianist, leader, arranger, composer and lyricist",(24 December 1916 - 3 December 1997),Place of birth: Campana (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/103/Hector-Stamponi/
Hector Varela,"Varela, Salustiano Paco", ,"Bandoneonist, leader, arranger and composer",(29 January 1914 - 30 January 1987),Place of birth: Avellaneda (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/719/Hector-Varela/
Horacio Pettorossi,"Gemignani Pettorossi, Horacio",Nicknames: El Marqués,"Guitarist, composer and leader",(21 October 1896 - 25 December 1960),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/134/Horacio-Pettorossi/
Horacio Salgan,"Salgán, Horacio Adolfo", ,"Pianist, leader and composer",(15 June 1916 - 19 August 2016),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1047/Horacio-Salgan/
Hugo Diaz,"Díaz, Víctor Hugo", ,Harmonica player and composer,(10 August 1927 - 23 October 1977),Place of birth: Santiago del Estero (Santiago del Estero) Argentina,https://www.todotango.com/english/artists/biography/1604/Hugo-Diaz/
Imperio Argentina,"Nile del Río, Magdalena","Nicknames: Petit Imperio, Imperio Argentina",Singer and actress,(26 December 1906 - 22 August 2003),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/644/Imperio-Argentina/
Ismael Spitalnik,"Spitalnik, Ismael", ,"Bandoneonist, leader, arranger and composer",(27 August 1919 - 12 October 1999),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/618/Ismael-Spitalnik/
Joaquin Do Reyes,"Do Reyes, Joaquín", ,"Bandoneonist, leader and composer",(26 January 1905 - 8 June 1987),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/168/Joaquin-Do-Reyes/
Jorge Caldara,"Caldara, Jorge", ,"Bandoneonist, leader and composer",(17 September 1924 - 24 August 1967),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/10/Jorge-Caldara/
Jorge Dragone,"Dragone, Nicolás Jorge", ,"Pianist, composer, arranger and leader",(12 February 1927 - 31 May 2020),Place of birth: General Villegas (Buenos Aires) Argentina, 
Jose Basso,"Basso, José Hipólito",Nicknames: Raúl Román,"Pianist, leader and composer",(30 January 1919 - 14 August 1993),Place of birth: Pergamino (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/704/Jose-Basso/
Jose Garcia,"García, José Francisco", ,"Violinist, leader and composer",(22 July 1908 - 5 April 2000),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/757/Jose-Garcia/
Jose Libertella,"Libertella, Giuseppe",Nicknames: José D'Ariño,"Bandoneonist, arranger, leader and composer",(9 July 1933 - 8 December 2004),Place of birth: Calvera (Potenza) Italy,https://www.todotango.com/english/artists/biography/1092/Jose-Libertella/
Jose Luis Padula,"Padula, José Luis", ,"Guitarist, pianist, composer and leader",(30 October 1893 - 12 June 1945),Place of birth: (Tucumán) Argentina,https://www.todotango.com/english/artists/biography/933/Jose-Luis-Padula/
Jose Sala,"Sala, José",Nicknames: Tito Donald,"Pianist, bandleader and composer",(24 April 1909 - 23 June 1987),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/1194/Jose-Sala/
Jose Tinelli,"Tinelli, José", ,"Pianist, leader and composer",(13 April 1911 - 27 July 1960),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/6/Jose-Tinelli/
Juan Canaro,"Canaro, Juan",Nicknames: Macaco,"Bandoneonist, leader and composer",(23 June 1892 - 16 March 1977),Place of birth: San José de Mayo (San José) Uruguay,https://www.todotango.com/english/artists/biography/348/Juan-Canaro/
Juan Carlos Caviello,"Caccaviello, Juan Carlos",Nicknames: El Pibe del Bandoneón,"Bandoneonist, leader and composer",(21 December 1923 - 30 April 2016),Place of birth: Quilmes (Buenos Aires) Argentina, 
Juan Carlos Cobian,"Cobián, Juan Carlos",Nicknames: Goubián; El Aristócrata del Tango,"Pianist, leader, composer and lyricist",(31 May 1896 - 10 December 1953),Place of birth: Pigüé (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/30/Juan-Carlos-Cobian/
Juan Cruz Mateo,"Mateo, Juan Cruz", ,"Pianist, violinist, bandleader, composer and painter",(25 December 1904 - 11 July 1951),Place of birth: Ensenada (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1190/Juan-Cruz-Mateo/
Juan D'Arienzo,"D'Arienzo, Juan",Nicknames: El Rey del compás,"Violinist, leader and composer ",(14 December 1900 - 14 January 1976),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/32/Juan-DArienzo/
Juan De Dios Filiberto,"Orquesta Nacional de Música Argentina ""Juan de Dios Filiberto""", ,Orchestra,(n/d - n/d),Place of birth: , 
Juan Jose Mosalini,"Mosalini, Juan José", ,"Bandoneonist, leader and composer",(29 November 1943 - 27 May 2022),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/923/Juan-Jose-Mosalini/
Juan Maglio,"Maglio, Juan Félix",Nicknames: Pacho y J. Oglima,"Bandoneonist, leader and composer",(18 November 1881 - 14 July 1934),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/39/Juan-Maglio/
Juan Polito,"Polito, Juan",Nicknames: Juan Vellejos y Manos Brujas,"Pianist, leader, arranger and composer",(11 July 1908 - 25 October 1981),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/99/Juan-Polito/
Juan Sanchez Gorio,"Sánchez, Juan Gregorio", ,"Bandoneonist, leader and composer",(28 November 1920 - 29 July 1979),Place of birth:  Spain,https://www.todotango.com/english/artists/biography/883/Juan-Sanchez-Gorio/
Julio De Caro,"De Caro, Julio",Nicknames: José Julián,"Violinist, leader and composer",(11 December 1899 - 11 March 1980),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/34/Julio-De-Caro/
Leo Lipesker,"Lipezker, León",Nicknames: Riel,Violinist and composer,(1 January 1916 - 1 October 1979),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/1418/Leo-Lipesker/
Leopoldo Federico,"Federico, Leopoldo", ,"Bandoneonist, conductor and composer",(12 January 1927 - 28 December 2014),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/765/Leopoldo-Federico/
Lorenzo Barbero,"Barbero, Isidro Lorenzo", ,"Violinist, leader and composer",(6 September 1918 - 23 June 2009),Place of birth: James Craik (Córdoba) Argentina,https://www.todotango.com/english/artists/biography/1167/Lorenzo-Barbero/
Los Tubatango,, ,,(n/d - ),Place of birth: , 
Lucio Demare,"Demare, Lucio", ,"Pianist, composer, arranger and leader",(9 August 1906 - 6 March 1974),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/414/Lucio-Demare/
