search_name,real_name,nickname,category,dates,place_of_birth,biography_link
Carlos Galan ,, ,Singer,(n/d - n/d),Place of birth: , 
Carlos Galarce,, ,Singer,(n/d - ),Place of birth: , 
Carlos Gardel,, , , , , 
Carlos Heredia,"Balverdi, Antonio", ,Singer,(10 May 1920 - n/d),Place of birth: Santiago Temple (Córdoba) Argentina,https://www.todotango.com/english/artists/biography/1226/Carlos-Heredia/
Carlos Lafuente,"Fredes, Hugo Washington", ,"Singer, composer and lyricist",(28 February 1908 - 27 July 1989),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/985/Carlos-Lafuente/
Carlos Mayel,"Anastasio, José Luis", ,Singer and composer,(19 November 1913 - 2 January 1984),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1493/Carlos-Mayel/
Carlos Montalvo,"Yáñez, Luis", ,Singer,(9 June 1928 - ),Place of birth: Buenos Aires Argentina, 
Carlos Morel,"González, Carlos Daniel", ,Singer,(7 January 1958 - ),Place of birth: Avellaneda (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/692/Carlos-Morel/
Carlos Olmedo,"Velázquez Childe, Delmar", ,Singer and composer,(26 October 1921 - 12 March 1976),Place of birth: Tranqueras (Rivera) Uruguay,https://www.todotango.com/english/artists/biography/996/Carlos-Olmedo/
Carlos Ortega,"Font, Manuel Martín", ,Lyricist and singer,(n/d - n/d),Place of birth: , 
Carlos Roldan,"Porcal, Carlos Belarmino", ,Singer,(31 December 1913 - 16 June 1973),Place of birth: Montevideo Uruguay,https://www.todotango.com/english/artists/biography/164/Carlos-Roldan/
Carlos Rossi,"Rossi, Carlos Alberto", ,Singer and lyricist,(1 March 1943 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1019/Carlos-Rossi/
Carlos Saavedra,"Gardella, Carlos Mateo", ,Singer,(2 October 1920 - 12 November 1972),Place of birth: Bragado (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1458/Carlos-Saavedra/
Carlos Solari,"García, Carlos", ,Singer,(20 October 1932 - ),Place of birth: Tacuarembó Uruguay,https://www.todotango.com/english/artists/biography/1603/Carlos-Solari/
Carlos Varela,"Varela, Carlos Alberto", ,Singer,(16 July 1909 - 21 December 1996),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1048/Carlos-Varela/
Carlos Vidal,"Vidal, Luis", ,Singer,(3 August 1926 - 18 January 1981),Place of birth: Avellaneda (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/833/Carlos-Vidal/
Carlos Vidal ,"Vidal, Luis", ,Singer,(3 August 1926 - 18 January 1981),Place of birth: Avellaneda (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/833/Carlos-Vidal/
Carlos Vivan,"Rice Treacy, Miguel", ,"Singer, actor, lyricist and composer",(15 April 1903 - 16 July 1971),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/614/Carlos-Vivan/
Carlos Yanel,"Santamaría, Roberto",Nicknames: Siro San Román,Singer,(20 August 1931 - ),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/1188/Carlos-Yanel/
Carmen Duval,"Simone, Carmen Leonor", ,Singer,(3 October 1918 - 21 March 2012),Place of birth: (Entre Ríos) Argentina,https://www.todotango.com/english/artists/biography/146/Carmen-Duval/
Charlo,"Pérez, Carlos José","Nicknames: Charlo, Carlos Pérez de la Riestra","Singer, musician, pianist, actor and composer.",(7 July 1906 - 30 October 1990),Place of birth: Guatraché (La Pampa) Argentina,https://www.todotango.com/english/artists/biography/70/Charlo/
Chola Luna,"Luna, Alcira Carmen", ,Singer and actress,(12 February 1919 - 2 April 2015),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1093/Chola-Luna/
Cristina De Los Angeles,"Alonso, María de los Ángeles", ,Singer,(15 November - ),Place of birth: ,https://www.todotango.com/english/artists/biography/1589/Cristina-De-Los-angeles/
Domingo Conte,"Conte, Domingo", ,Singer and actor,(10 January 1908 - 12 December 1998),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1477/Domingo-Conte/
Domingo Conte ,"Conte, Domingo", ,Singer and actor,(10 January 1908 - 12 December 1998),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1477/Domingo-Conte/
Dorita Davis,"Gallardo de Regard, Emma",Nicknames: La Calandria Criolla,Singer,(6 September 1906 - 13 January 1980),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/860/Dorita-Davis/
Edmundo Rivero,"Rivero, Leonel Edmundo",Nicknames: El Feo,"Singer, guitar player, lyricist and composer)",(8 June 1911 - 18 January 1986),Place of birth: Valentín Alsina (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/634/Edmundo-Rivero/
Eduardo Adrian,"Eyherabide, Carlos Alberto", ,"Singer, lyricist, composer, journalist, theater director and lecturer",(4 February 1923 - 23 May 1990),Place of birth: Mar del Plata (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/913/Eduardo-Adrian/
Eduardo Borda,, ,Singer,(n/d - ),Place of birth: , 
Eduardo Espinoza,"Espinoza, Francisco", ,Singer,(10 July 1958 - ),Place of birth: Punta Alta (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/878/Eduardo-Espinoza/
Elba Beron,"Berón, Elba", ,Singer,(31 December 1930 - 5 March 1994),Place of birth: Zárate (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/894/Elba-Beron/
Elsa Moran,"Castillo, María Cáceres",Nicknames: Rubí Castillo,Singer,(31 August 1931 - 15 April 2019),Place of birth: José Pedro Varela (Lavalleja) Uruguay,https://www.todotango.com/english/artists/biography/1758/Elsa-Moran/
Elsa Rivas,"Rivas, Elsa Concepción", ,Singer,(4 October 1925 - 30 April 2010),Place of birth: Avellaneda (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/766/Elsa-Rivas/
Emilia Garcia,"García, Emilia", ,Singer,(n/d - ),Place of birth: , 
Enrique Campos,"Troncone, Enrique Inocencio", ,Singer,(10 March 1913 - 13 March 1970),Place of birth: Montevideo Uruguay,https://www.todotango.com/english/artists/biography/114/Enrique-Campos/
Enrique Carbel,"Barbell, Efraín Enrique Ramón Francisco Pedro Javier",Nicknames: Enrique Carbel / Pacho,Singer and composer,(3 December 1917 - 29 November 1945),Place of birth: Chamical (La Rioja) Argentina,https://www.todotango.com/english/artists/biography/940/Enrique-Carbel/
Enrique Dumas,"Rodríguez, Enrique", ,Singer,(8 May 1935 - 18 January 2009),Place of birth: La Plata (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1072/Enrique-Dumas/
Enrique Lucero,"Martínez, Enrique", ,Singer,(n/d - ),Place of birth: Buenos Aires Argentina, 
Enzo Valentino,"Cavenenghi, Enzo Ángel María", ,Singer and composer,(24 September 1919 - 3 April 2015),Place of birth: Correa (Santa Fe) Argentina, 
Ernesto Fama,"Famá, Ernesto", ,Singer and composer,(18 August 1908 - 19 July 1984),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/657/Ernesto-Fama/
Ernesto Herrera,"Rey, Rodolfo", ,Singer,(6 September 1930 - 5 October 2018),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1286/Ernesto-Herrera/
Ernesto Rondo,"Mazzei, Rafael",Nicknames: Ernesto Rondo,Composer,(15 May 1911 - 25 February 1984),Place of birth: Buenos Aires Argentina, 
Fabian Rodriguez,"Rodríguez, Fabián", ,Singer,(n/d - ),Place of birth: , 
Felix Gutierrez,"Gutiérrez, Félix", ,Singer,(19 May 1909 - 6 October 1992),Place of birth: Mar del Plata (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1046/Felix-Gutierrez/
Fernando Diaz,"Díaz, Fernando Alfredo", ,Singer,(14 December 1903 - 11 January 1981),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/835/Fernando-Diaz/
Fernando Soler,"Taccari, Carlos Alberto", ,Singer,(21 April 1957 - ),Place of birth: Pigüé (Buenos Aires) Argentina, 
Floreal Ruiz,"Ruiz, Floreal",Nicknames: El Tata,Singer,(29 March 1916 - 17 April 1978),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/156/Floreal-Ruiz/
Fontan Luna,"Rodríguez, Alberto", ,Singer and pianist,(20 December 1921 - 1997),Place of birth: General Sarmiento (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1429/Fontan-Luna/
Fontan Reyes,"Nocito, Atir Omar", ,Singer,(10 October 1925 - n/d),Place of birth: ,https://www.todotango.com/english/artists/biography/1594/Fontan-Reyes/
Francisco Amor,"Iglesias Amor, Francisco", ,"Singer, composer and actor",(7 January 1906 - 5 June 1976),Place of birth: Bahía Blanca (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/917/Francisco-Amor/
Francisco Fiorentino,"Fiorentino, Francisco", ,"Singer, bandoneon player and composer",(23 September 1905 - 11 September 1955),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/149/Francisco-Fiorentino/
Genaro Veiga,"Veiga, Genaro",Nicknames: El Cholo,Singer,(n/d - n/d),Place of birth: ,https://www.todotango.com/english/artists/biography/1350/Genaro-Veiga/
Gigi De Angelis,"De Angelis, Isabel", ,"Pianist, singer and dancer",(16 March 1945 - 24 October 2017),Place of birth: Banfield (Buenos Aires) Argentina, 
Gloria Diaz,"Díaz Moreira, Marina Juliana", ,Singer,(17 May 1938 - 24 June 2021),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1117/Gloria-Diaz/
Guillermo Coral,"Rico, Guillermo",Nicknames: Guillermo Coral,Singer and actor,(10 February 1920 - 18 May 2013),Place of birth: Lanús (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/872/Guillermo-Rico/
Guillermo Galve,"Piker, Marcos Guillermo", ,Singer,(7 February 1946 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/963/Guillermo-Galve/
Guillermo Rico,"Rico, Guillermo",Nicknames: Guillermo Coral,Singer and actor,(10 February 1920 - 18 May 2013),Place of birth: Lanús (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/872/Guillermo-Rico/
Gustavo Nocetti,"Nocetti, Gustavo", ,Singer,(6 November 1959 - 30 December 2002),Place of birth: Montevideo Uruguay,https://www.todotango.com/english/artists/biography/792/Gustavo-Nocetti/
Hector Alvarado,"Cisterna, Nicolás Rafael", ,Singer and composer,(24 March 1925 - 3 May 2015),Place of birth: Córdoba Argentina,https://www.todotango.com/english/artists/biography/1707/Hector-Alvarado/
Hector Coral,"Graziano, Natalio Salvador", ,Singer,(n/d - 27 February 1980),Place of birth: , 
Hector Dario,"Petraglia, José", ,Singer,(8 December 1938 - 30 March 2013),Place of birth: Catania (Catania) Italy,https://www.todotango.com/english/artists/biography/665/Hector-Dario/
Hector De Rosas,"González Padilla, Héctor Ángel", ,Singer y teacher,(2 October 1931 - 26 July 2015),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/724/Hector-De-Rosas/
Hector Farrel,"Cardinale, Héctor Domingo",Nicknames: Héctor Farrel/Héctor Morel,Singer,(4 August 1908 - n/d),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1007/Hector-Farrel/
Hector Insua,"Arrambide, Julián Héctor", ,Singer,(23 February 1923 - 22 October 1972),Place of birth: Zárate (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1451/Hector-Insua/
Hector Juncal,"Tizón, Héctor", ,Singer,(30 October 1919 - n/d),Place of birth: Avellaneda (Buenos Aires) Argentina, 
Hector Maciel,, ,Singer,(n/d - ),Place of birth: , 
Hector Maure,"Falivene, Vicente José", ,Singer and composer,(13 March 1920 - 12 May 1976),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/662/Hector-Maure/
Hector Montes,"Montes, Héctor", ,Singer,(5 March 1929 - 3 May 1988),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1479/Hector-Montes/
Hector Omar,"Civilotti, Héctor Omar", ,Singer and composer,(6 June 1928 - 15 March 2017),Place of birth: La Plata (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1260/Hector-Omar/
Hector Pacheco,"Ingaramo, Antonio Lino", ,Singer and composer,(15 March 1918 - 28 July 2003),Place of birth: Marcos Juárez (Córdoba) Argentina, 
Hector Palacios,"Eguía Palacios, Héctor Eloy", ,"Singer, lyricist and composer",(20 March 1909 - 8 April 1987),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/896/Hector-Palacios/
Hector Petray,"Olaguibe, Héctor Osvaldo", ,Singer,(6 January 1926 - n/d),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1407/Hector-Petray/
Hernan Fernandez,, ,,(n/d - ),Place of birth: , 
Hernan Genovese,"Genovese, Hernán", ,Singer,(26 November 1971 - ),Place of birth: ,https://www.todotango.com/english/artists/biography/1109/Hernan-Genovese/
Hernan Lucero,"Lucero, Hernán", ,Singer and composer,(n/d - ),Place of birth: (Buenos Aires) Argentina, 
Hernan Salinas,"Aguirre, Jorge Hernán", ,Singer,(30 November 1956 - 21 November 2003),Place of birth: Quitilipi (Chaco) Argentina,https://www.todotango.com/english/artists/biography/944/Hernan-Salinas/
Horacio Casares,"Mobilio, Ignacio Andrés", ,Singer,(26 September 1932 - 25 August 2009),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/768/Horacio-Casares/
Horacio Deval,"Tudisco, Adolfo",Nicknames: Horacio Devriew,Singer,(4 July 1923 - 18 January 2004),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/787/Horacio-Deval/
Horacio Lagos,, ,Singer,(n/d - ),Place of birth: , 
Horacio Palma,"Di Palma, Enrique", ,Singer,(29 April 1931 - n/d),Place of birth: Buenos Aires Argentina, 
Horacio Quintana,"Gutiérrez, Ramón Domingo",Nicknames: Tito,Singer and composer,(30 May 1920 - 15 November 2007),Place of birth: Teodelina (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/982/Horacio-Quintana/
Horacio Roca,"Pometti, Alfredo Héctor", ,Singer,(1929 - 13 January 1969),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1699/Horacio-Roca/
Horacio Susena,"Susena, Horacio", ,Composer,(19 October 1900 - 8 April 1987),Place of birth:  Uruguay, 
Hugo Del Carril,"Fontana, Piero Bruno Hugo",Nicknames: Hugo del Carril,"Singer, composer, actor and cinema director.",(30 November 1912 - 13 August 1989),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/145/Hugo-Del-Carril/
Hugo Duval,"Giurbino, Luciano Hugo", ,Singer,(13 December 1928 - 22 August 2003),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/966/Hugo-Duval/
Hugo Gutierrez,"Gutiérrez, Hugo", ,"Violinist, singer and composer",(2 December 1904 - 21 June 1976),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1323/Hugo-Gutierrez/
Hugo Marcel,"Cárpena, Gregorio Horacio", ,Singer,(24 January 1942 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/922/Hugo-Marcel/
Hugo San Luis,, ,Singer,(n/d - ),Place of birth: , 
Hugo Soler,"Cebral, Santiago", ,Singer,(14 April 1921 - n/d),Place of birth: La Coruña (A Coruña) Spain,https://www.todotango.com/english/artists/biography/1039/Hugo-Soler/
Ines Arce,"Álvarez, Inés",Nicknames: La Calandria,Singer,(6 February 1927 - ),Place of birth:  Argentina,https://www.todotango.com/english/artists/biography/1582/Ines-Arce/
Isabel De Grana,, ,Singer,(8 August 1930 - 6 April 1997),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/830/Isabel-De-Grana/
Jesus Hidalgo,"Hidalgo, Jesús", ,Singer,(29 January 1982 - ),Place of birth: Bragado (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1503/Jesus-Hidalgo/
Jorge Casal,"Pappalardo, Salvador Carmelo", ,Singer,(14 January 1924 - 25 June 1996),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/142/Jorge-Casal/
Jorge Duran,"Durán, Alfonso Jesús",Nicknames: Cajón,Singer,(19 January 1924 - 20 August 1989),Place of birth: San Juan Argentina,https://www.todotango.com/english/artists/biography/637/Jorge-Duran/
Jorge Falcon,"Iglesias, Luis", ,Singer and composer,(15 October 1949 - 2 July 1987),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/728/Jorge-Falcon/
Jorge Garre,"Rodríguez, Antonio", ,Singer,(31 March 1921 - 11 January 1979),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1357/Jorge-Garre/
Jorge Guillermo,"Colella, Guillermo José", ,Singer,(17 September 1959 - ),Place of birth:  Argentina, 
Jorge Ledesma,"Deluchi, Justo José", ,Singer,(3 February 1924 - ),Place of birth: Piñeyro (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1237/Jorge-Ledesma/
Jorge Linares,, ,Singer,(n/d - ),Place of birth: , 
Jorge Maciel,"Pellegrini, Carlos", ,Singer,(17 September 1920 - 25 February 1975),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/784/Jorge-Maciel/
Jorge Omar,"Ormaechea, Juan Manuel", ,Singer,(10 March 1911 - 24 February 1998),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/695/Jorge-Omar/
Jorge Ortiz,"Alessio, Juan Edelmiro", ,Singer,(18 September 1912 - 18 February 1989),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/846/Jorge-Ortiz/
Jorge Rubino,"Rubino, Jorge", ,Singer,(n/d - 3 April 1959),Place of birth: , 
Jorge Sobral,"Sobredo, Edelmiro", ,Singer,(25 August 1931 - 10 April 2005),Place of birth: La Plata (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/854/Jorge-Sobral/
Jorge Torres,"Torres, Jorge Mario Nazareno", ,Letrista,(n/d - ),Place of birth: , 
Jorge Valdez,"Vitale, Leo Mario", ,Singer and composer,(27 January 1932 - 21 February 2002),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/853/Jorge-Valdez/
Jorge Vidal,"Vidal, Orlando",Nicknames: Negro,Singer and composer,(12 August 1924 - 14 September 2010),Place of birth: Buenos Aires Argentina, 
Jose Angel Trelles,"Amato, José Ángel", ,Singer,(28 August 1943 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1168/Jose-angel-Trelles/
Jose Beron,"Berón, José", ,Singer and guitarist,(22 November 1918 - 26 April 1976),Place of birth: Zárate (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1318/Jose-Beron/
Jose Bohr,"Böhr Elzer, Yopes", ,"Singer, composer, lyricist, actor and leader",(3 September 1901 - 29 May 1994),Place of birth: Bonn (Renania del Norte-Westfalia) Germany,https://www.todotango.com/english/artists/biography/329/Jose-Bohr/
Jose Torres,"Toto, José", ,Singer,(19 March 1923 - n/d),Place of birth: Buenos Aires Argentina, 
Juan Carlos Casas,"Casas, Basilio Constantino", ,Singer,(23 March 1914 - 21 August 1986),Place of birth: Tandil (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1657/Juan-Carlos-Casas/
Juan Carlos Cobos,"Pires, Lorenzo Joaquín", ,"Singer, lyricist and composer",(5 June 1928 - 10 November 1999),Place of birth: Punta Alta (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1164/Juan-Carlos-Cobos/
Juan Carlos Fabri,, ,Singer,(n/d - ),Place of birth: , 
Juan Carlos Godoy,"Llanes, Aníbal", ,Singer,(21 August 1922 - 12 February 2016),Place of birth: Campana (Buenos Aires) Argentina, 
Juan Carlos Jordan,"Plácido, Gerardo José", ,Singer,(16 February 1935 - ),Place of birth: Buenos Aires Argentina, 
Juan Carlos Lamas,"Velázquez, Rafael", ,Singer,(13 October 1921 - 27 July 2004),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/1445/Juan-Carlos-Lamas/
Juan Carlos Miranda,"Sciorra, Rafael Miguel", ,Singer,(23 July 1917 - 8 July 1999),Place of birth: Chivilcoy (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/954/Juan-Carlos-Miranda/
Juan Carlos Rolon,, ,Singer,(22 October 1922 - ),Place of birth: Martínez (Buenos Aires) Argentina, 
Juan Carlos Thorry,"Torrontegui, José Antonio", ,"Singer, actor, composer and lyricist",(28 June 1908 - 12 February 2000),Place of birth: Coronel Pringles (Buenos Aires) Argentina, 
Juan Cedron,"Cedrón, Juan Carlos",Nicknames: Tata,"Singer, guitarist, leader and composer",(28 June 1939 - ),Place of birth: Buenos Aires Argentina, 
Julia Vidal,, ,Singer,(n/d - n/d),Place of birth: , 
Julian Centeya,"Vergiati, Amleto Enrique",Nicknames: Julián Centeya y Enrique Alvarado,Poet and lyricist,(15 October 1910 - 26 July 1974),Place of birth: Borgataro (Parma) Italy,https://www.todotango.com/english/artists/biography/626/Julian-Centeya/
Julian Rosales,"Romero, Antonio", ,Singer,(9 February 1945 - ),Place of birth: Buenos Aires Argentina, 
Julio Cesar Fernan,"Fernández, Julio César", ,Singer,(16 September 1947 - ),Place of birth: Buenos Aires Argentina, 
Julio Martel,"Harispe, Julio Pedro", ,Singer,(14 May 1923 - 19 February 2009),Place of birth: Baigorrita (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/699/Julio-Martel/
Julio Rodolfo,"Di Piazza, Rodolfo",Nicknames: Piazzita,"Singer, bassist, lyricist and dancer",(16 March 1933 - ),Place of birth: Buenos Aires Argentina, 
Julio Sosa,"Sosa Venturini, Julio María",Nicknames: El Varón del Tango,Singer and poet,(2 February 1926 - 26 November 1964),Place of birth: Las Piedras (Canelones) Uruguay,https://www.todotango.com/english/artists/biography/165/Julio-Sosa/
